monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date,service_id
0,0,0,0,0,0,1,20251109,20251116,1019
0,0,0,0,0,0,1,20251109,20251116,827
0,0,0,0,0,0,1,20251109,20251123,100
0,0,0,0,0,0,1,20251109,20251123,398
0,0,0,0,0,0,1,20251109,20251130,118
0,0,0,0,0,0,1,20251109,20251130,510
0,0,0,0,0,0,1,20251109,20251130,622
0,0,0,0,0,0,1,20251109,20251130,992
0,0,0,0,0,0,1,20251109,20251207,350
0,0,0,0,0,0,1,20251109,20251207,372
0,0,0,0,0,0,1,20251109,20251207,532
0,0,0,0,0,0,1,20251109,20251207,680
0,0,0,0,0,0,1,20251109,20251207,772
0,0,0,0,0,0,1,20251109,20251207,864
0,0,0,0,0,0,1,20251109,20251207,868
0,0,0,0,0,0,1,20251109,20251207,915
0,0,0,0,0,0,1,20251109,20251207,963
0,0,0,0,0,0,1,20251109,20251209,23
0,0,0,0,0,0,1,20251111,20251116,653
0,0,0,0,0,0,1,20251114,20251123,458
0,0,0,0,0,0,1,20251115,20251116,591
0,0,0,0,0,0,1,20251115,20251123,35
0,0,0,0,0,0,1,20251116,20251123,637
0,0,0,0,0,0,1,20251116,20251125,851
0,0,0,0,0,0,1,20251116,20251129,238
0,0,0,0,0,0,1,20251116,20251130,724
0,0,0,0,0,0,1,20251116,20251207,12
0,0,0,0,0,0,1,20251116,20251207,509
0,0,0,0,0,0,1,20251123,20251130,151
0,0,0,0,0,0,1,20251123,20251207,178
0,0,0,0,0,0,1,20251123,20251207,512
0,0,0,0,0,0,1,20251123,20251207,830
0,0,0,0,0,0,1,20251129,20251207,113
0,0,0,0,0,0,1,20251130,20251207,617
0,0,0,0,0,0,1,20251130,20251207,832
0,0,0,0,0,1,0,20251114,20251122,265
0,0,0,0,0,1,0,20251114,20251123,348
0,0,0,0,0,1,0,20251114,20251206,201
0,0,0,0,0,1,0,20251115,20251122,798
0,0,0,0,0,1,0,20251115,20251129,16
0,0,0,0,0,1,0,20251115,20251129,365
0,0,0,0,0,1,0,20251115,20251129,646
0,0,0,0,0,1,0,20251115,20251206,258
0,0,0,0,0,1,0,20251115,20251206,272
0,0,0,0,0,1,0,20251115,20251206,728
0,0,0,0,0,1,0,20251122,20251129,873
0,0,0,0,0,1,0,20251122,20251206,108
0,0,0,0,0,1,0,20251122,20251206,53
0,0,0,0,0,1,0,20251122,20251206,579
0,0,0,0,0,1,0,20251122,20251206,762
0,0,0,0,0,1,0,20251122,20251207,486
0,0,0,0,0,1,0,20251128,20251206,139
0,0,0,0,0,1,0,20251129,20251206,822
0,0,0,0,0,1,0,20251129,20251207,269
0,0,0,0,0,1,1,20251109,20251115,86
0,0,0,0,0,1,1,20251109,20251116,918
0,0,0,0,0,1,1,20251109,20251123,218
0,0,0,0,0,1,1,20251109,20251123,418
0,0,0,0,0,1,1,20251109,20251123,73
0,0,0,0,0,1,1,20251109,20251206,329
0,0,0,0,0,1,1,20251109,20251206,855
0,0,0,0,0,1,1,20251109,20251207,101
0,0,0,0,0,1,1,20251109,20251207,158
0,0,0,0,0,1,1,20251109,20251207,325
0,0,0,0,0,1,1,20251109,20251207,415
0,0,0,0,0,1,1,20251109,20251207,606
0,0,0,0,0,1,1,20251109,20251207,820
0,0,0,0,0,1,1,20251109,20251207,899
0,0,0,0,0,1,1,20251109,20251207,985
0,0,0,0,0,1,1,20251109,20251208,964
0,0,0,0,0,1,1,20251111,20251207,263
0,0,0,0,0,1,1,20251115,20251116,473
0,0,0,0,0,1,1,20251115,20251122,430
0,0,0,0,0,1,1,20251115,20251123,675
0,0,0,0,0,1,1,20251115,20251130,161
0,0,0,0,0,1,1,20251115,20251207,340
0,0,0,0,0,1,1,20251115,20251207,522
0,0,0,0,0,1,1,20251115,20251207,61
0,0,0,0,0,1,1,20251115,20251207,890
0,0,0,0,0,1,1,20251115,20251207,895
0,0,0,0,0,1,1,20251115,20251207,928
0,0,0,0,0,1,1,20251116,20251207,241
0,0,0,0,0,1,1,20251116,20251207,700
0,0,0,0,0,1,1,20251116,20251209,1020
0,0,0,0,0,1,1,20251122,20251123,958
0,0,0,0,0,1,1,20251122,20251207,516
0,0,0,0,0,1,1,20251122,20251207,536
0,0,0,0,0,1,1,20251122,20251207,877
0,0,0,0,0,1,1,20251123,20251129,110
0,0,0,0,0,1,1,20251129,20251130,261
0,0,0,0,0,1,1,20251129,20251207,373
0,0,0,0,0,1,1,20251129,20251207,460
0,0,0,0,0,1,1,20251206,20251207,733
0,0,0,0,1,0,0,20251109,20251121,355
0,0,0,0,1,0,0,20251114,20251121,797
0,0,0,0,1,0,0,20251114,20251128,165
0,0,0,0,1,0,0,20251114,20251128,364
0,0,0,0,1,0,0,20251114,20251205,869
0,0,0,0,1,0,0,20251114,20251205,961
0,0,0,0,1,0,0,20251121,20251128,387
0,0,0,0,1,0,0,20251121,20251205,896
0,0,0,0,1,0,0,20251128,20251205,305
0,0,0,0,1,0,0,20251128,20251206,349
0,0,0,0,1,0,0,20251128,20251207,247
0,0,0,0,1,0,1,20251109,20251114,631
0,0,0,0,1,0,1,20251109,20251207,19
0,0,0,0,1,0,1,20251109,20251207,552
0,0,0,0,1,0,1,20251109,20251207,59
0,0,0,0,1,0,1,20251114,20251116,56
0,0,0,0,1,0,1,20251114,20251123,316
0,0,0,0,1,0,1,20251114,20251128,540
0,0,0,0,1,0,1,20251116,20251121,852
0,0,0,0,1,0,1,20251116,20251123,105
0,0,0,0,1,0,1,20251121,20251123,500
0,0,0,0,1,0,1,20251123,20251207,517
0,0,0,0,1,0,1,20251128,20251130,945
0,0,0,0,1,0,1,20251128,20251207,274
0,0,0,0,1,0,1,20251130,20251205,533
0,0,0,0,1,1,0,20251109,20251122,454
0,0,0,0,1,1,0,20251109,20251126,892
0,0,0,0,1,1,0,20251110,20251128,176
0,0,0,0,1,1,0,20251114,20251115,352
0,0,0,0,1,1,0,20251114,20251121,701
0,0,0,0,1,1,0,20251114,20251122,301
0,0,0,0,1,1,0,20251114,20251123,920
0,0,0,0,1,1,0,20251114,20251206,397
0,0,0,0,1,1,0,20251115,20251122,845
0,0,0,0,1,1,0,20251121,20251122,11
0,0,0,0,1,1,0,20251121,20251206,51
0,0,0,0,1,1,0,20251122,20251206,332
0,0,0,0,1,1,0,20251127,20251205,75
0,0,0,0,1,1,0,20251128,20251129,413
0,0,0,0,1,1,0,20251128,20251129,74
0,0,0,0,1,1,0,20251128,20251205,511
0,0,0,0,1,1,0,20251129,20251205,324
0,0,0,0,1,1,0,20251129,20251207,927
0,0,0,0,1,1,0,20251205,20251206,368
0,0,0,0,1,1,1,20251109,20251116,235
0,0,0,0,1,1,1,20251109,20251207,962
0,0,0,0,1,1,1,20251114,20251116,3
0,0,0,0,1,1,1,20251114,20251123,630
0,0,0,0,1,1,1,20251114,20251129,553
0,0,0,0,1,1,1,20251114,20251205,250
0,0,0,0,1,1,1,20251115,20251123,224
0,0,0,0,1,1,1,20251116,20251123,468
0,0,0,0,1,1,1,20251121,20251123,177
0,0,0,0,1,1,1,20251121,20251207,489
0,0,0,0,1,1,1,20251121,20251207,989
0,0,0,0,1,1,1,20251121,20251208,978
0,0,0,0,1,1,1,20251127,20251209,195
0,0,0,0,1,1,1,20251128,20251130,1008
0,0,0,0,1,1,1,20251128,20251205,879
0,0,0,0,1,1,1,20251128,20251207,503
0,0,0,0,1,1,1,20251129,20251207,934
0,0,0,0,1,1,1,20251205,20251207,405
0,0,0,1,0,0,0,20251113,20251120,376
0,0,0,1,0,0,0,20251113,20251120,795
0,0,0,1,0,0,0,20251113,20251204,77
0,0,0,1,0,0,0,20251120,20251204,114
0,0,0,1,0,0,0,20251127,20251204,974
0,0,0,1,0,0,1,20251109,20251113,96
0,0,0,1,0,0,1,20251113,20251116,719
0,0,0,1,0,0,1,20251116,20251120,306
0,0,0,1,0,0,1,20251127,20251130,559
0,0,0,1,0,1,0,20251120,20251122,320
0,0,0,1,0,1,0,20251127,20251129,226
0,0,0,1,0,1,0,20251129,20251204,824
0,0,0,1,0,1,0,20251204,20251206,523
0,0,0,1,0,1,1,20251111,20251120,828
0,0,0,1,1,0,0,20251113,20251114,225
0,0,0,1,1,0,0,20251113,20251117,168
0,0,0,1,1,0,0,20251113,20251205,643
0,0,0,1,1,0,0,20251120,20251121,1000
0,0,0,1,1,0,0,20251204,20251205,921
0,0,0,1,1,0,1,20251109,20251114,422
0,0,0,1,1,0,1,20251109,20251114,576
0,0,0,1,1,0,1,20251109,20251207,393
0,0,0,1,1,0,1,20251114,20251121,764
0,0,0,1,1,0,1,20251114,20251123,495
0,0,0,1,1,0,1,20251127,20251207,586
0,0,0,1,1,1,0,20251113,20251115,230
0,0,0,1,1,1,0,20251120,20251122,296
0,0,0,1,1,1,0,20251127,20251129,573
0,0,0,1,1,1,0,20251127,20251130,713
0,0,0,1,1,1,1,20251109,20251116,21
0,0,0,1,1,1,1,20251114,20251121,125
0,0,0,1,1,1,1,20251120,20251122,356
0,0,0,1,1,1,1,20251120,20251123,802
0,0,0,1,1,1,1,20251122,20251209,264
0,0,0,1,1,1,1,20251127,20251204,449
0,0,0,1,1,1,1,20251127,20251207,465
0,0,0,1,1,1,1,20251130,20251207,9
0,0,1,0,0,0,1,20251130,20251203,858
0,0,1,0,0,1,0,20251112,20251115,534
0,0,1,0,0,1,0,20251115,20251204,412
0,0,1,0,0,1,1,20251119,20251203,740
0,0,1,0,1,0,0,20251114,20251121,545
0,0,1,0,1,0,0,20251119,20251121,402
0,0,1,0,1,0,0,20251119,20251127,595
0,0,1,0,1,0,0,20251126,20251205,82
0,0,1,0,1,0,0,20251203,20251205,825
0,0,1,0,1,1,0,20251128,20251203,425
0,0,1,1,0,0,0,20251110,20251121,813
0,0,1,1,0,0,0,20251112,20251113,416
0,0,1,1,0,0,0,20251118,20251127,321
